ka001: AKKU - 2 komite audit | expected komite >= 3
ka001: ALDO - 2 komite audit | expected komite >= 3
ka001: ARGO - 2 komite audit | expected komite >= 3
ka001: ARTA - 2 komite audit | expected komite >= 3
ka001: BAJA - 0 komite audit | expected komite >= 3
ka001: BANK - 2 komite audit | expected komite >= 3
ka001: BBLD - 1 komite audit | expected komite >= 3
ka001: BLUE - 2 komite audit | expected komite >= 3
ka001: CANI - 1 komite audit | expected komite >= 3
ka001: CASH - 2 komite audit | expected komite >= 3
ka001: CTTH - 2 komite audit | expected komite >= 3
ka001: DFAM - 2 komite audit | expected komite >= 3
ka001: DGIK - 0 komite audit | expected komite >= 3
ka001: ENZO - 0 komite audit | expected komite >= 3
ka001: FAPA - 0 komite audit | expected komite >= 3
ka001: FIMP - 0 komite audit | expected komite >= 3
ka001: FMII - 0 komite audit | expected komite >= 3
ka001: GEMS - 1 komite audit | expected komite >= 3
ka001: GGST - 0 komite audit | expected komite >= 3
ka001: GLOB - 0 komite audit | expected komite >= 3
ka001: GRHA - 0 komite audit | expected komite >= 3
ka001: HDIT - 0 komite audit | expected komite >= 3
ka001: HOME - 2 komite audit | expected komite >= 3
ka001: HOTL - 0 komite audit | expected komite >= 3
ka001: IBFN - 0 komite audit | expected komite >= 3
ka001: INCO - 1 komite audit | expected komite >= 3
ka001: INSA - 0 komite audit | expected komite >= 3
ka001: INTA - 2 komite audit | expected komite >= 3
ka001: JAWA - 0 komite audit | expected komite >= 3
ka001: JSMR - 2 komite audit | expected komite >= 3
ka001: KBRI - 2 komite audit | expected komite >= 3
ka001: KPAS - 0 komite audit | expected komite >= 3
ka001: KREN - 0 komite audit | expected komite >= 3
ka001: LAND - 0 komite audit | expected komite >= 3
ka001: LCGP - 0 komite audit | expected komite >= 3
ka001: LEAD - 2 komite audit | expected komite >= 3
ka001: LPPS - 0 komite audit | expected komite >= 3
ka001: MABA - 2 komite audit | expected komite >= 3
ka001: MBTO - 2 komite audit | expected komite >= 3
ka001: MRAT - 2 komite audit | expected komite >= 3
ka001: MYRX - 2 komite audit | expected komite >= 3
ka001: PGJO - 0 komite audit | expected komite >= 3
ka001: PICO - 0 komite audit | expected komite >= 3
ka001: PJAA - 0 komite audit | expected komite >= 3
ka001: PKPK - 2 komite audit | expected komite >= 3
ka001: PPRE - 0 komite audit | expected komite >= 3
ka001: PSAB - 0 komite audit | expected komite >= 3
ka001: PTIS - 0 komite audit | expected komite >= 3
ka001: PYFA - 0 komite audit | expected komite >= 3
ka001: SAME - 0 komite audit | expected komite >= 3
ka001: SATU - 0 komite audit | expected komite >= 3
ka001: SCPI - 0 komite audit | expected komite >= 3
ka001: SDMU - 0 komite audit | expected komite >= 3
ka001: SIMM - 0 komite audit | expected komite >= 3
ka001: SMBR - 0 komite audit | expected komite >= 3
ka001: SMDM - 0 komite audit | expected komite >= 3
ka001: SPMA - 1 komite audit | expected komite >= 3
ka001: SUDI - 0 komite audit | expected komite >= 3
ka001: SURE - 2 komite audit | expected komite >= 3
ka001: TELE - 0 komite audit | expected komite >= 3
ka001: TPEN - 0 komite audit | expected komite >= 3
ka001: TPMA - 0 komite audit | expected komite >= 3
ka001: TRIL - 2 komite audit | expected komite >= 3
ka001: UNIC - 2 komite audit | expected komite >= 3
ka001: VINS - 0 komite audit | expected komite >= 3
ka001: VOKS - 1 komite audit | expected komite >= 3
ka001: WEHA - 0 komite audit | expected komite >= 3
ka001: WIIM - 0 komite audit | expected komite >= 3
