AALI|tanggal pencatatan|09 des 1997
ABBA|tanggal pencatatan|03 apr 2002
ABDA|tanggal pencatatan|06 jul 1989
ABMM|tanggal pencatatan|06 des 2011
ACES|tanggal pencatatan|06 nov 2007
ACST|tanggal pencatatan|24 jun 2013
ADES|tanggal pencatatan|13 jun 1994
ADFO|tanggal pencatatan|01 jan 1911
ADHI|tanggal pencatatan|18 mar 2004
ADMF|tanggal pencatatan|31 mar 2004
ADMG|tanggal pencatatan|20 okt 1993
ADRO|tanggal pencatatan|16 jul 2008
AGAR|tanggal pencatatan|02 des 2019
AGII|tanggal pencatatan|28 sep 2016
AGRO|tanggal pencatatan|08 ags 2003
AGRS|tanggal pencatatan|22 des 2014
AHAP|tanggal pencatatan|14 sep 1990
AIMS|tanggal pencatatan|20 jul 2001
AISA|tanggal pencatatan|11 jun 1997
AKKU|tanggal pencatatan|01 nov 2004
AKPI|tanggal pencatatan|18 des 1992
AKRA|tanggal pencatatan|03 okt 1994
AKSI|tanggal pencatatan|13 jul 2001
ALDO|tanggal pencatatan|12 jul 2011
ALKA|tanggal pencatatan|12 jul 1990
ALMI|tanggal pencatatan|02 jan 1997
ALTO|tanggal pencatatan|10 jul 2012
AMAG|tanggal pencatatan|23 des 2005
AMAN|tanggal pencatatan|13 mar 2020
AMAR|tanggal pencatatan|09 jan 2020
AMFG|tanggal pencatatan|08 nov 1995
AMIN|tanggal pencatatan|10 des 2015
AMOR|tanggal pencatatan|14 jan 2020
AMRT|tanggal pencatatan|15 jan 2009
ANDI|tanggal pencatatan|16 ags 2018
ANJT|tanggal pencatatan|08 mei 2013
ANTM|tanggal pencatatan|27 nov 1997
APEX|tanggal pencatatan|05 jun 2013
APIC|tanggal pencatatan|18 des 2002
APII|tanggal pencatatan|29 okt 2013
APLI|tanggal pencatatan|01 mei 2000
APLN|tanggal pencatatan|11 nov 2010
ARCI|tanggal pencatatan|28 jun 2021
ARGO|tanggal pencatatan|07 jan 1991
ARII|tanggal pencatatan|08 nov 2011
ARKA|tanggal pencatatan|10 jul 2019
ARMY|tanggal pencatatan|21 jun 2017
ARNA|tanggal pencatatan|17 jul 2001
ARTA|tanggal pencatatan|05 nov 2002
ARTI|tanggal pencatatan|30 apr 2003
ARTO|tanggal pencatatan|12 jan 2016
ASBI|tanggal pencatatan|29 nov 1989
ASDM|tanggal pencatatan|15 des 1989
ASGR|tanggal pencatatan|15 nov 1989
ASII|tanggal pencatatan|04 apr 1990
ASJT|tanggal pencatatan|23 des 2003
ASMI|tanggal pencatatan|16 jan 2014
ASPI|tanggal pencatatan|17 feb 2020
ASRI|tanggal pencatatan|18 des 2007
ASRM|tanggal pencatatan|19 mar 1990
ASSA|tanggal pencatatan|12 nov 2012
ATAP|tanggal pencatatan|11 des 2020
ATIC|tanggal pencatatan|08 jul 2015
AUTO|tanggal pencatatan|15 jun 1998
AYLS|tanggal pencatatan|12 feb 2020
BABP|tanggal pencatatan|15 jul 2002
BACA|tanggal pencatatan|04 okt 2007
BAJA|tanggal pencatatan|21 des 2011
BALI|tanggal pencatatan|13 mar 2014
BANK|tanggal pencatatan|01 feb 2021
BAPA|tanggal pencatatan|14 jan 2008
BAPI|tanggal pencatatan|16 sep 2019
BATA|tanggal pencatatan|24 mar 1982
BAYU|tanggal pencatatan|30 okt 1989
BBCA|tanggal pencatatan|31 mei 2000
BBHI|tanggal pencatatan|07 jun 2004
BBKP|tanggal pencatatan|10 jul 2006
BBLD|tanggal pencatatan|07 mei 1990
BBMD|tanggal pencatatan|08 jul 2013
BBNI|tanggal pencatatan|25 nov 1996
BBRI|tanggal pencatatan|10 nov 2003
BBRM|tanggal pencatatan|09 jan 2013
BBSI|tanggal pencatatan|07 sep 2020
BBSS|tanggal pencatatan|15 apr 2020
BBTN|tanggal pencatatan|17 des 2009
BBYB|tanggal pencatatan|13 jan 2015
BCAP|tanggal pencatatan|08 jun 2001
BCIC|tanggal pencatatan|25 jun 1997
BCIP|tanggal pencatatan|11 des 2009
BDMN|tanggal pencatatan|06 des 1989
BEBS|tanggal pencatatan|10 mar 2021
BEEF|tanggal pencatatan|10 jan 2019
BEKS|tanggal pencatatan|13 jul 2001
BELL|tanggal pencatatan|03 okt 2017
BESS|tanggal pencatatan|09 mar 2020
