AALI,Tanggal Pencatatan,09 Des 1997,-
AALI,Sektor,Barang Konsumen Primer,-
AALI,Sub Sektor,Makanan & Minuman,-
AALI,Industri,Produk Makanan Pertanian,-
AALI,Sub Industri,Perkebunan & Tanaman Pangan,-
AALI,Sekretaris Perusahaan,Mario Casimirus Surung Gultom,-
AALI,PRESIDEN DIREKTUR,SANTOSA,-
AALI,DIREKTUR,MARIO CASIMIRUS SURUNG GULTOM,-
AALI,DIREKTUR,MUHAMMAD HADI SUGENG WAHYUDIONO,-
AALI,DIREKTUR,RUJITO PURNOMO,-
AALI,DIREKTUR,NICO TAHIR,-
AALI,DIREKTUR,SAID FAKHRULLAZI,-
AALI,DIREKTUR,EKO PRASETYO,-
AALI,PRESIDEN KOMISARIS,CHIEW SIN CHEOK,no
AALI,KOMISARIS,JOHANNES LOMAN,no
AALI,KOMISARIS,SIDHARTA UTAMA,yes
AALI,KOMISARIS,ARIDONO SUKMANTO,yes
AALI,KETUA,Sidharta Utama,-
AALI,ANGGOTA,Lindawati Gani,-
AALI,ANGGOTA,Budi Frensidy,-
AALI,Pemegang Saham,PT Astra International Tbk,-
ABBA,Tanggal Pencatatan,03 Apr 2002,-
ABBA,Sektor,Barang Konsumen Non-Primer,-
ABBA,Sub Sektor,Media & Hiburan,-
ABBA,Industri,Media,-
ABBA,Sub Industri,Penerbitan,-
ABBA,Sekretaris Perusahaan,S. Pramudityo Anggoro,-
ABBA,DIREKTUR UTAMA,Adrian Syarkawi,-
ABBA,DIREKTUR,Troy Reza Warokka,-
ABBA,KOMISARIS UTAMA,R. Harry Zulnardy,no
ABBA,KOMISARIS,Rudy Setia Laksmana,no
ABBA,KOMISARIS,Harry Danui,yes
ABBA,KETUA,Harry Danui,-
ABBA,ANGGOTA,Otto Eduard Sitorus,-
ABBA,ANGGOTA,Zaki Zulfikar,-
ABBA,Pemegang Saham,PT Beyond Media,-
ABBA,Pemegang Saham,Peak Holdings Luxembourg S.A.R.L,-
ABDA,Tanggal Pencatatan,06 Jul 1989,-
ABDA,Sektor,Keuangan,-
ABDA,Sub Sektor,Asuransi,-
ABDA,Industri,Asuransi,-
ABDA,Sub Industri,Asuransi Umum,-
ABDA,Sekretaris Perusahaan,Ratih P. Kusumadilaga,-
ABDA,DIREKTUR,Julien Pierre Combaret,-
ABDA,DIREKTUR,Renova Siregar,-
ABDA,DIREKTUR UTAMA,Herliniawaty Sutanto,-
ABDA,DIREKTUR,Stephen,-
ABDA,KOMISARIS,Ronni Widjaja,yes
ABDA,KOMISARIS,Herlani Sunardi,yes
ABDA,KOMISARIS,Francisco Noriega Malave,yes
ABDA,KOMISARIS UTAMA,Tjan Soen Eng,no
ABDA,KETUA,Ronni Widjaja,-
ABDA,ANGGOTA,Herlani Sunardi,-
ABDA,ANGGOTA,Kusuwandi Tamin,-
ABDA,Pemegang Saham,Bank of Singapore Ltd A/C Mapfre Internacional SA,-
ABMM,Tanggal Pencatatan,06 Des 2011,-
ABMM,Sektor,Perindustrian,-
ABMM,Sub Sektor,Perusahaan Holding Multi Sektor,-
ABMM,Industri,Perusahaan Holding Multi-sektor,-
ABMM,Sub Industri,Perusahaan Holding Multi-sektor,-
ABMM,Sekretaris Perusahaan,Rindra Donovan,-
ABMM,DIREKTUR UTAMA,Achmad Ananda Djajanegara,-
ABMM,DIREKTUR,Adrian Erlangga,-
ABMM,DIREKTUR,Haris Mustarto,-
ABMM,KOMISARIS UTAMA,Rachmat Mulyana Hamami,no
ABMM,KOMISARIS,Arief Tarunakarya Surowidjojo,yes
ABMM,KOMISARIS,Mivida Hamami,no
ABMM,KOMISARIS,Manggi Taruna Habir,yes
ABMM,KETUA,Manggi Taruna Habir,-
ABMM,ANGGOTA,Ferry A.J. Alis,-
ABMM,ANGGOTA,Agus Yulianto,-
ABMM,Pemegang Saham,MAYBANK KIM ENG SEC. PTE LTD,-
ABMM,Pemegang Saham,PT. Tiara Marga Trakindo,-
ABMM,Pemegang Saham,Valle Verde PTE LTD,-
ACES,Tanggal Pencatatan,06 Nov 2007,-
ACES,Sektor,Barang Konsumen Non-Primer,-
ACES,Sub Sektor,Perdagangan Ritel,-
ACES,Industri,Ritel Khusus,-
ACES,Sub Industri,Ritel Barang Rumah Tangga,-
ACES,Sekretaris Perusahaan,Helen R. Tanzil,-
ACES,DIREKTUR UTAMA,PRABOWO WIDYA KRISNADI,-
ACES,DIREKTUR,TARISA WIDYA KRISNADI,-
ACES,DIREKTUR,SUGIYANTO WIBAWA,-
ACES,DIREKTUR,DEWI TRIANA SALEH,-
ACES,DIREKTUR,SUHARNO,-
ACES,DIREKTUR,GREGORY WIDJAJA,-
ACES,KOMISARIS UTAMA,KUNCORO WIBOWO,no
ACES,KOMISARIS,HARTANTO DJASMAN,no
ACES,KOMISARIS,LETJEN TNI (PURN) TARUB,yes
ACES,KOMISARIS,IRJEN POL (PURN) MATHIUS SALEMPANG,yes
ACES,KETUA,Letjen. TNI (Purn.) Tarub,-
ACES,ANGGOTA,Julianto Sidarto,-
ACES,ANGGOTA,Petrus Rudy Prakoso,-
